Square_Footage,Num_Bedrooms,Num_Bathrooms,Year_Built,Lot_Size,Garage_Size,Neighborhood_Quality,House_Price
4143,5,2,2003,3.2931870185077656,2,6,921504.9731714311
3168,3,3,2015,1.4016519263441694,0,1,676616.0931903052
3369,2,3,1962,3.5842790455070257,1,9,728289.8873118911
4087,3,2,2001,3.7294637276196823,1,6,903580.584732007
2932,2,2,1985,2.68654204394969,0,4,619113.8006430672
1108,1,1,2013,1.9164042178734613,0,5,258092.8492818521
3361,4,1,2022,1.6413599998131725,2,3,762769.5055574658
4010,1,3,1980,3.534164789029246,1,8,854876.2983739193
3378,4,2,1998,3.9807808196042576,0,3,751628.1847820185
4965,5,2,1977,3.0314984057287133,2,2,1075864.2810329462
3884,4,3,1957,1.7852474108534166,2,1,807715.0385534696
2974,5,3,1977,4.337623911663265,0,2,665815.8308190309
3610,1,2,1979,3.434418778467428,1,6,774150.0468123948
3873,4,2,1986,0.5289584517355808,1,9,801313.0610758337
4593,2,1,1978,1.3895783856240735,2,8,938817.3052836132
2137,4,2,1966,2.3371331187431093,0,2,460224.9154867564
1963,1,1,1971,1.929864040466574,2,3,393720.88715135143
1098,3,2,1959,4.606779641917387,2,5,285173.0592208858
1376,5,2,1986,3.488907708823036,1,8,348893.55395287194
4082,3,3,1973,0.8610001090507133,2,6,857205.2452653883
4734,5,3,1969,3.773881536012927,0,4,1021159.6924822456
2988,5,1,1953,0.8667996621527443,2,1,604326.6299841956
4335,1,2,2004,2.089344203433444,1,6,925277.0038396716
3851,2,3,2017,0.9707893274719804,1,7,838490.0145303209
4247,5,3,1988,0.9459340266309424,2,5,901134.4094621054
4216,1,3,1996,2.230627067870982,2,2,907610.1834944274
1103,4,2,1991,0.90974232639259,0,4,255225.8956632783
2235,2,3,1991,3.4897703666405753,1,4,510948.02993979474
4486,1,1,2011,1.1907365082156731,0,9,918945.7414005845
1402,2,3,2006,2.999264805402331,1,2,348295.42446268734
4012,5,2,2015,2.1845327690755885,1,3,900643.3115357012
4645,1,3,1994,3.0260500154639485,1,5,976655.45367408
2718,5,3,1958,2.374405277542766,0,10,578127.8635251222
3670,3,3,1972,3.7647755829129257,0,8,796684.3744980957
4030,5,3,1968,1.756851751460553,2,1,871914.3751700439
3599,1,1,1981,2.061331968805513,1,8,721018.0639031393
2592,1,3,1988,4.112817903363778,0,9,591042.9572471966
2690,3,3,1968,2.1450796793386795,1,10,571795.7949333115
3393,3,2,1997,4.988108068991199,0,8,786520.7590893527
1161,1,2,1968,4.333688371057524,0,3,285999.38026134006
3787,5,2,1976,3.1667711521916586,2,5,823172.2178367919
3179,1,2,1999,2.977122996963232,1,10,683723.1607044176
1800,2,2,2004,3.375644715117144,2,10,443408.3059778237
4772,5,3,2006,1.7159214348685925,0,8,1043133.9414440382
1439,4,2,1954,0.9745224540636094,1,6,304582.50586346997
3673,5,1,1997,2.7507615313286076,2,10,809433.546525894
2477,4,2,1950,1.799710927609218,1,10,511212.39879156137
1738,4,1,1988,1.9705228068614833,2,8,379135.05226791993
2253,4,3,1985,3.9799379444138503,1,10,528754.2030321811
1995,2,1,1983,0.5658271649495408,1,1,397482.74798703607
2643,3,3,1966,0.7164153968541594,0,9,530326.7865334606
2762,2,2,1976,4.5109319286213445,1,6,619407.6279156839
2949,2,1,1997,2.4546267416354794,0,7,641526.9853657566
1395,1,1,2013,4.601224954976008,2,9,358456.5587829942
1636,4,3,2022,3.878737812924656,0,5,450195.6774140077
2870,1,2,1959,4.1048416411227215,2,5,598399.050104692
2785,5,2,1990,1.8498914679573373,2,9,628510.1143837547
2596,5,3,2022,4.978315966227465,2,2,667252.7960894497
4384,1,1,1967,3.191908531072365,1,6,892542.1402053294
4325,1,3,1952,4.531688141362056,0,9,884022.1054926136
2968,1,2,1976,1.2588384404532307,1,8,606006.1092534857
2122,3,1,2016,4.4870855811961565,0,8,511631.85658456216
4137,2,1,1985,3.575629128981855,2,5,885395.7755960764
2982,4,3,1982,4.932928788528826,1,10,697958.2964720695
2417,1,3,2005,4.07605805794047,0,10,558045.3403278578
3083,1,1,1950,1.952313022473452,1,9,606824.7098375077
4169,5,2,1974,4.293070513762068,1,4,929638.3020146944
2679,4,3,1958,3.5087341652007376,2,2,600030.8456073253
3722,1,3,1961,3.416392004488053,0,2,772577.2276024765
4671,4,3,2017,1.9312230764791345,1,7,1028282.3118218936
758,1,2,1972,3.4978779426780484,0,3,187423.32889930252
2808,3,3,2010,3.466913874704658,0,5,645356.2002909122
4076,1,1,1951,0.7331046503711455,2,6,764991.3205613843
2822,2,3,1952,1.391347040263843,1,4,569065.2893260858
4264,4,1,1996,2.1819616466571583,2,3,917108.4446612942
1562,1,2,2009,2.5259297725180376,1,3,360625.8165550675
3065,3,1,1963,1.4730215410750087,2,10,611205.6889207754
2042,2,3,1987,4.075163680340777,0,6,475471.1766686792
2000,1,2,2007,2.599728196667819,2,7,459846.2854449774
1714,2,3,2008,3.7837035792384,0,10,431423.2948124018
1180,2,3,2011,4.112020491421457,1,2,338655.5275703694
4420,2,2,2006,2.763726166160785,0,10,936116.1474750703
4559,1,2,1983,1.9393272178058731,1,10,941915.3089933235
3604,1,2,1966,3.3915992464563534,0,3,740286.5597469498
755,4,1,2017,2.4059656219635333,2,2,239234.57432207957
2897,1,3,1959,4.672081037446268,1,1,618847.2062202137
4636,4,1,1969,3.6486734274476422,2,7,985351.0239129456
2022,3,1,2022,1.2275480588708567,1,9,472311.7338808563
4129,4,3,1974,1.4093172543477168,1,6,858678.9784066548
3561,5,3,1966,2.7129832873187993,2,4,787008.7832855196
4994,5,2,1964,1.4085730423183587,1,2,1033192.4442379882
4590,4,2,1987,2.221060025544402,0,5,967072.8754404383
3464,2,3,1973,2.8189235115110947,2,2,732830.9894480101
4269,3,1,1962,4.439325313048254,2,5,934942.0571329228
2233,4,3,2006,2.3900183333663225,0,6,525760.8806101802
2717,4,3,1986,1.9695445473148177,0,3,584794.5263166418
2548,5,3,1990,1.5925921903745257,0,7,589898.789343809
3761,1,3,1999,3.819944808991574,1,7,804774.6025330542
4318,4,1,1976,1.203276692973993,2,8,897666.0008462978
2306,1,2,2014,3.637739385742356,2,5,530824.1967752124
3438,3,1,1956,3.120784719062966,2,6,711487.3046106938
3556,4,3,2000,1.3154522781704332,2,9,784642.5603085074
4297,3,1,1999,3.87420612962476,0,5,929930.8382410017
4774,2,3,2013,0.6334576051855603,0,10,1014315.9557551579
1647,4,1,1979,2.5976396100214183,0,3,381834.91528511787
1863,5,3,1975,3.3174908317372678,2,2,461743.6512022068
3794,1,2,1966,1.4002215491586871,2,2,758175.2494249775
2140,4,2,1990,4.881417647646304,1,2,538019.8348860915
1516,1,1,1951,0.5155076469959137,0,10,271987.4624553927
4536,5,1,2022,1.1183697492191067,0,3,983795.0028343925
737,1,2,2019,4.12039982679997,2,9,241288.60542143535
798,4,2,1988,4.401472926911705,1,4,227932.8347799132
3391,5,1,1968,2.0312969288883105,0,6,708124.8722162129
3474,2,2,1964,3.460312575146114,0,2,711401.6699223185
3190,2,1,1973,3.912202814252266,2,1,684824.5348634415
1958,1,3,2020,2.008189141800443,2,4,454233.65557938645
1717,1,2,1962,4.322903969695556,0,7,383644.1777444591
3398,1,3,1983,1.2607780029787232,2,8,706686.3209428937
2261,2,3,2008,4.712861935018445,0,2,567162.3644585742
3391,3,2,2018,4.900602031658124,2,2,815145.3815724943
1097,4,2,2020,2.091229259350098,2,7,328814.7099478334
1812,1,1,2005,3.934338970832632,2,6,418180.40267088404
4175,2,2,2000,1.9990245104991928,1,2,875702.3183862882
2384,4,1,1962,2.1346315120465835,0,3,502843.80465680634
2809,5,2,1964,1.602538978583463,1,9,598010.4614779769
3840,5,2,2018,4.853973612809036,0,7,899323.3567730804
3884,3,3,1972,0.5518445541171952,1,8,805200.1240730032
2622,5,3,2019,0.6981817072480898,2,1,604936.830452781
725,5,3,2007,3.9943937424685534,2,3,278342.82579827675
